bowler,bowling_style,batting_style,playing_role,balls_bowled
AS Raut,Legbreak Googly,Right hand Bat,Allrounder,30
BMAJ Mendis,Legbreak,Left hand Bat,Allrounder,30
S Joseph,Right-arm fast,Left-hand bat,,30
H Sharma,Legbreak,Right hand Bat,Bowler,30
MA Khote,Right arm Medium,Right hand Bat,,30
PVSN Raju,Unknown,Unknown,Unknown,29
D Jansen,Left arm Medium,Left hand Bat,,28
D Madushanka,Left arm Medium fast,Right hand Bat,Bowler,28
Mashrafe Mortaza,Right arm Fast medium,Right hand Bat,Bowler,28
IC Porel,Right arm Medium,Right hand Bat,Bowler,26
BJ Dwarshuis,Left arm Fast medium,Left hand Bat,Bowler,26
NB Singh,Right arm Medium,Right hand Bat,Bowler,25
SS Sarkar,Right arm Medium,Right hand Bat,Bowler,25
MG Neser,Right arm Medium fast,Right hand Bat,Bowling Allrounder,25
A Dananjaya,"Right arm Offbreak, Legbreak",Left hand Bat,Allrounder,25
DAJ Bracewell,Right arm Fast medium,Right hand Bat,Bowler,25
AA Noffke,Right arm Fast medium,Right hand Bat,Allrounder,25
R Goyal,Left arm Wrist spin,Left hand Bat,Bowler,24
GR Napier,Right arm Medium,Right hand Bat,Bowling Allrounder,24
P Ray Barman,Legbreak Googly,Right hand Bat,Bowler,24
V Kaverappa,Right arm Fast medium,Right hand Bat,Bowler,24
SS Agarwal,Legbreak Googly,Right hand Bat,,24
Tilak Varma,Right arm Offbreak,Left hand Bat,Batting Allrounder,23
Sumit Kumar,Right arm Medium fast,Right hand Bat,Allrounder,22
R Powell,Right arm Medium fast,Right hand Bat,Middle order Batter,21
Tejas Baroka,Legbreak Googly,Right hand Bat,Bowler,21
Vivrant Sharma,Legbreak Googly,Left hand Bat,,21
Gurnoor Brar,Right arm Fast,Left hand Bat,Bowler,21
RV Patel,Right arm Medium fast,Right hand Bat,Middle order Batter,20
CJ Dala,Right arm Medium,Right hand Bat,Bowler,19
Sunny Gupta,Right arm Offbreak,Right hand Bat,,19
LI Meriwala,Left arm Fast medium,Left hand Bat,Bowler,19
MB Parmar,Right arm Offbreak,Right hand Bat,,19
Suryansh Shedge,Unknown,Unknown,Unknown,19
LMP Simmons,Right arm Medium fast,Right hand Bat,Top order Batter,18
DJ Harris,Right arm Medium,Right hand Bat,,18
RW Price,Slow Left arm Orthodox,Right hand Bat,Bowler,18
NJ Rimmington,Right arm Fast medium,Right hand Bat,Bowler,18
M Shahrukh Khan,Right arm Offbreak,Right hand Bat,Batter,18
KS Williamson,Right arm Offbreak,Right hand Bat,Top order Batter,18
S Sriram,Slow Left arm Orthodox,Left hand Bat,Middle order Batter,18
D Ferreira,Unknown,Unknown,Unknown,18
Jalaj S Saxena,"Right arm Offbreak, Legbreak Googly",Right hand Bat,Allrounder,18
RS Ghosh,Unknown,Unknown,Unknown,18
DB Ravi Teja,Legbreak Googly,Right hand Bat,Batter,18
A Nel,Right arm Fast medium,Right hand Bat,Bowler,18
DJM Short,Left arm Wrist spin,Left hand Bat,Opening Batter,18
N Wadhera,Legbreak,Left hand Bat,Top order Batter,17
CK Kapugedera,Right arm Medium,Right hand Bat,Middle order Batter,17
CJ Green,Right arm Offbreak,Right hand Bat,Bowling Allrounder,17
Monu Kumar,Right arm Medium,Right hand Bat,Bowling Allrounder,16
S Rana,Right arm Medium fast,Right hand Bat,Bowler,16
NA Saini,Right arm Fast,Right hand Bat,Bowler,15
R Sanjay Yadav,Slow Left arm Orthodox,Left hand Bat,Allrounder,14
Abdur Razzak,Slow Left arm Orthodox,Left hand Bat,Bowler,14
AA Kazi,Slow Left arm Orthodox,Left hand Bat,Bowler,13
S Vidyut,Slow Left arm Orthodox,Left hand Bat,Batting Allrounder,13
LRPL Taylor,Right arm Offbreak,Right hand Bat,Middle order Batter,13
Arshad Khan (2),Left arm Medium,Left hand Bat,Bowler,13
S Midhun,Legbreak Googly,Right hand Bat,Bowler,13
Mohit Rathee,Legbreak,Right hand Bat,Allrounder,12
Musheer Khan,Unknown,Unknown,Unknown,12
RR Bhatkal,Right arm Medium,Right hand Bat,Allrounder,12
Mandeep Singh,Right arm Medium,Right hand Bat,Allrounder,12
JE Root,"Right arm Offbreak, Legbreak",Right hand Bat,Top order Batter,12
RR Bose,Right arm Fast medium,Right hand Bat,,12
C Munro,Right arm Medium fast,Left hand Bat,Opening Batter,12
FY Fazal,Right arm Medium,Left hand Bat,Opening Batter,12
PR Veer,Slow left-arm orthodox,Right-hand bat,,12
R Ravindra,Slow Left arm Orthodox,Left hand Bat,Batting Allrounder,12
T Vijay,Right-arm offbreak,Right-hand bat,,12
Sachin Baby,Right arm Offbreak,Left hand Bat,Batter,10
LA Carseldine,Left arm Medium,Left hand Bat,Allrounder,7
BJ Rohrer,Unknown,Unknown,Unknown,7
SS Mundhe,Right arm Medium,Right hand Bat,Allrounder,7
Gulbadin Naib,Right arm Medium fast,Right hand Bat,Batting Allrounder,6
C Ganapathy,Right arm Medium,Right hand Bat,,6
AM Rahane,Right arm Medium,Right hand Bat,Top order Batter,6
Karim Janat,Right arm Medium,Right hand Bat,Bowling Allrounder,6
Y Gnaneswara Rao,Right arm Medium,Right hand Bat,Allrounder,6
RA Shaikh,Left arm Medium,Left hand Bat,,6
P Prasanth,Slow Left arm Orthodox,Left hand Bat,Allrounder,6
PWA Mulder,Right arm Medium,Right hand Bat,Allrounder,6
B Chipli,Right arm Medium,Right hand Bat,Batter,6
RA Tripathi,Right arm Medium,Right hand Bat,Top order Batter,6
Aman Hakim Khan,Right arm Medium,Right hand Bat,Bowler,6
RS Gavaskar,Slow Left arm Orthodox,Left hand Bat,,6
SA Yadav,"Right arm Medium, Right arm Offbreak",Right hand Bat,Batter,6
LPC Silva,Legbreak,Right hand Bat,Batter,6
TH David,Right arm Offbreak,Right hand Bat,Middle order Batter,6
SS Iyer,"Right arm Offbreak, Legbreak Googly",Right hand Bat,Top order Batter,6
F du Plessis,Legbreak,Right hand Bat,Middle order Batter,6
I Malhotra,Right arm Medium fast,Right hand Bat,Bowler,6
D Brevis,Legbreak,Right hand Bat,Batting Allrounder,3
DA Warner,Legbreak,Left hand Bat,Opening Batter,2
SPD Smith,Legbreak Googly,Right hand Bat,Middle order Batter,2
SN Khan,Legbreak,Right hand Bat,Middle order Batter,2
YBK Jaiswal,Legbreak,Left hand Bat,Opening Batter,1
AC Gilchrist,Right arm Offbreak,Left hand Bat,Wicketkeeper Batter,1
Atharva Taide,Slow Left arm Orthodox,Left hand Bat,Batting Allrounder,1
Ishan Kishan,Unknown,Unknown,Unknown,1
